state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,total minutes,total calls,total charges
SD,65,408,348-7484,no,yes,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,False,659.8,252,71.06
NE,63,415,338-5207,no,no,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,False,708.0999999999999,231,67.75999999999999
VT,152,415,418-7846,no,no,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2.0,3,False,405.29999999999995,302,48.08
ND,147,408,358-8729,no,no,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,False,612.6,307,59.9
GA,112,415,349-1943,no,yes,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,False,672.5999999999999,374,62.12
OR,120,415,368-8283,no,no,0,252.0,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,False,554.0,322,62.44
MT,27,510,345-1419,no,no,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,False,448.6,330,49.18
WY,171,415,358-8025,no,no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,False,626.8,333,64.64999999999999
GA,101,415,383-8695,no,yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,False,594.1,320,59.31
WV,32,408,370-7565,no,yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,False,711.8,314,74.67
CT,3,415,401-6162,no,yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,False,443.5,331,43.589999999999996
IL,151,408,386-5303,no,no,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,False,479.8,281,49.28
CO,60,408,351-6552,no,no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,False,585.2,240,51.93
DE,119,415,345-5338,no,no,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,False,606.1,248,58.37
LA,43,415,330-2849,no,no,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,False,636.1,326,64.03999999999999
MA,42,408,364-6801,no,no,0,241.2,134,41.0,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,False,509.9,339,57.75
IN,84,408,375-3003,no,no,0,217.1,99,36.91,236.0,68,20.06,118.3,120,5.32,9.4,4,2.54,1,False,571.4,287,62.29
NY,65,510,383-8878,no,no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,False,555.1,324,56.65
TX,75,415,384-2372,yes,no,0,222.4,78,37.81,327.0,111,27.8,208.0,104,9.36,8.7,9,2.35,1,True,757.4,293,74.97
KS,116,510,377-7107,no,no,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,False,585.1,291,57.60999999999999
WV,107,415,361-1581,no,no,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,False,537.6,264,45.91
NE,189,415,417-7888,no,yes,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,11.4,3,3.08,3,False,530.2,305,61.97
ND,123,408,383-8364,no,no,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,False,603.1,333,56.7
AK,110,408,396-2335,no,no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3,False,537.8,240,46.05
CO,63,415,408-4530,no,yes,32,30.9,113,5.25,187.0,113,15.9,230.8,101,10.39,8.6,7,2.32,1,False,448.70000000000005,327,31.54
ME,176,415,408-6621,no,no,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,False,592.0,287,63.11
SC,108,510,393-7522,no,no,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,False,603.4,334,58.56999999999999
MN,13,510,338-7120,no,yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,False,784.6,299,83.11
CO,71,415,357-4265,no,no,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,False,536.2,326,64.08999999999999
KS,88,415,398-8801,no,no,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,False,621.6,323,59.59
MS,137,510,346-2347,no,no,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,False,512.7,315,49.17999999999999
NE,82,408,343-2741,no,no,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,False,654.4,274,63.730000000000004
NJ,92,510,420-8242,no,yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,False,598.8,332,53.91
WI,165,510,402-7746,no,no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,False,611.6,298,57.54
MT,96,415,332-1494,no,no,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,False,423.29999999999995,321,35.47
AR,156,415,388-6223,no,no,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,False,526.4000000000001,268,53.17
WA,63,408,404-9539,no,no,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,False,629.5,251,57.94
NH,37,415,341-7332,no,no,0,206.0,89,35.02,186.0,88,15.81,307.1,86,13.82,8.4,11,2.27,0,False,699.1,263,64.65
IA,98,415,338-7886,no,no,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11.0,9,2.97,0,False,595.1,279,61.519999999999996
WV,121,415,332-5596,no,no,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,False,399.5,305,36.05
RI,94,415,348-9945,no,no,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,False,426.7,316,42.989999999999995
KS,99,415,407-1896,no,no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,False,598.7,326,57.39
MT,163,510,398-9408,no,yes,23,160.0,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,False,579.3,286,53.65
MO,161,510,369-8005,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,6.5,4,1.76,3,False,608.8,290,62.83
HI,99,415,346-2530,no,no,0,62.9,81,10.69,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,1,False,462.79999999999995,266,37.93
CO,108,415,400-5984,no,no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,False,605.3,262,62.0
CT,84,510,351-1007,no,yes,42,165.3,97,28.1,223.5,118,19.0,260.8,72,11.74,7.6,7,2.05,3,False,649.6,287,58.84
ID,83,415,345-5980,yes,yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,False,449.5,318,38.239999999999995
DC,139,510,368-8964,no,no,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,False,553.5,256,56.4
TN,69,510,358-1912,no,no,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,False,671.9,297,63.32000000000001
WY,129,510,379-3132,no,no,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,False,654.1,298,59.309999999999995
MO,106,415,340-9910,no,no,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,False,425.4,283,36.58
VA,158,415,396-2719,no,no,0,222.8,101,37.88,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,False,636.4,335,64.62
SD,168,415,369-6204,no,yes,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,False,562.1,256,55.74
WV,115,510,420-9971,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,True,644.0999999999999,320,69.92
GA,57,408,410-3782,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,False,698.5,340,68.55999999999999
AZ,67,415,404-4481,no,no,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,False,609.5999999999999,285,62.540000000000006
AK,127,408,383-9255,no,no,0,182.3,124,30.99,169.9,110,14.44,184.0,116,8.28,9.3,3,2.51,1,False,536.2,350,53.71
AK,78,510,418-9385,no,no,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,False,641.3,286,60.42
CT,100,415,360-9676,no,yes,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2.0,0,False,583.5,268,54.94
UT,103,510,327-3587,no,yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,True,423.2,282,36.71
KY,113,415,385-4715,no,no,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,False,514.4,338,57.830000000000005
MI,78,510,414-2695,no,no,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14.0,11,3.78,3,False,581.7,294,52.86
OR,129,510,331-5999,no,yes,36,192.8,103,32.78,177.0,83,15.05,216.5,118,9.74,16.4,5,4.43,1,False,586.3,304,57.57
TN,57,510,337-7739,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,False,581.2,311,52.83
WV,82,408,388-6658,no,no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,False,602.0999999999999,310,51.89
NJ,64,415,405-6943,no,no,0,224.8,111,38.22,190.0,101,16.15,221.4,110,9.96,9.2,2,2.48,1,False,636.2,322,64.33
MS,86,510,382-4084,no,yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,False,630.3,324,69.58
ME,151,415,352-8249,no,yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,False,594.1,333,58.33
WY,94,510,353-8363,no,no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,True,695.4,261,73.29
WY,90,415,416-2825,no,no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2,False,726.0,328,70.25999999999999
IN,48,510,342-6696,no,no,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,False,631.0,291,71.27
NM,85,408,338-9210,no,yes,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,False,573.8,289,59.82
NJ,93,415,328-1768,yes,yes,20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,False,532.6,331,54.2
DC,169,415,406-5870,yes,no,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,6.5,6,1.76,3,False,531.5,279,39.04
UT,68,415,398-3834,no,no,0,162.1,86,27.56,155.0,86,13.18,189.7,87,8.54,11.0,9,2.97,5,True,506.8,259,49.279999999999994
KY,91,415,330-7754,yes,no,0,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,True,544.5,342,49.66
KS,68,510,414-9054,no,no,0,159.5,123,27.12,240.8,93,20.47,210.3,76,9.46,11.4,3,3.08,1,False,610.6,292,57.050000000000004
MI,101,510,350-2832,no,no,0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,False,603.0999999999999,286,59.32000000000001
UT,67,510,414-9027,no,yes,20,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,False,581.9,213,62.57
NE,66,415,337-1225,no,no,0,34.0,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,False,442.20000000000005,314,35.29
FL,116,415,394-6577,no,yes,17,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,False,682.1,341,64.49
LA,158,408,359-6995,no,no,0,202.0,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,False,560.9,296,57.03
MT,78,415,377-7561,no,no,0,191.7,122,32.59,241.4,88,20.52,203.5,86,9.16,9.1,5,2.46,1,False,636.6,296,62.269999999999996
WA,119,415,380-6631,no,yes,26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,False,554.0,299,55.11
MI,120,415,390-8876,no,no,0,150.6,85,25.6,119.0,128,10.12,232.9,123,10.48,6.4,2,1.73,1,False,502.5,336,46.2
KY,155,510,413-2201,no,no,0,184.6,102,31.38,196.0,117,16.66,226.5,122,10.19,7.8,1,2.11,1,False,607.1,341,58.23
LA,106,408,374-2073,no,no,0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,False,612.5,328,65.96000000000001
NM,87,510,417-1272,yes,no,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,False,498.9,326,51.300000000000004
AL,146,415,358-1129,no,yes,32,154.0,80,26.18,185.5,91,15.77,148.2,107,6.67,8.2,4,2.21,3,False,487.7,278,48.620000000000005
MO,101,415,394-1211,no,yes,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,False,549.2,291,47.31
CO,22,510,327-1319,no,yes,23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,False,475.5,255,50.75
TX,90,415,399-4413,no,no,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,False,406.9,317,37.519999999999996
NY,41,415,393-9985,no,no,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1,False,585.5,314,57.46
OR,69,415,401-8377,no,no,0,167.5,76,28.48,242.1,92,20.58,101.2,103,4.55,11.4,4,3.08,2,False,510.8,271,53.61
WY,33,415,331-3202,no,no,0,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,False,602.4000000000001,278,63.42999999999999
UT,112,415,358-5953,no,no,0,115.8,108,19.69,243.3,111,20.68,184.6,78,8.31,13.1,5,3.54,1,False,543.7,297,48.68000000000001
LA,108,510,380-7624,no,yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,False,674.6,307,73.74000000000001
NV,136,415,416-5261,no,yes,21,179.4,88,30.5,181.1,97,15.39,320.7,120,14.43,9.5,4,2.57,2,False,681.2,305,60.32
NC,128,510,417-5067,no,no,0,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,False,664.5,247,64.15
NC,27,408,345-6515,no,no,0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,False,574.2,319,60.07000000000001
WY,161,415,406-1349,yes,no,0,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,False,641.5,332,63.25999999999999
TN,33,415,360-9038,no,yes,35,186.8,124,31.76,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,False,765.6,296,68.25
FL,120,415,348-3444,no,yes,31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,False,610.0,255,55.4
CA,113,415,370-2892,no,no,0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,False,554.6999999999999,316,56.74
PA,122,415,383-4061,yes,no,0,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,True,656.5,288,68.13
WV,148,415,391-7937,no,yes,26,244.9,150,41.63,118.0,138,10.03,236.0,91,10.62,15.2,4,4.1,2,False,598.9,379,62.28
NJ,74,415,389-4083,no,no,0,230.9,93,39.25,223.0,78,18.96,157.8,101,7.1,9.7,2,2.62,3,False,611.7,272,65.31
MT,106,415,410-9633,no,no,0,187.1,104,31.81,250.2,117,21.27,144.9,81,6.52,11.0,3,2.97,1,False,582.1999999999999,302,59.599999999999994
MN,179,415,418-9502,no,no,0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,False,576.4,269,54.92
WI,149,415,339-6637,yes,yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,True,439.0,276,42.29
ID,77,510,356-3403,no,no,0,189.5,112,32.22,207.0,95,17.6,214.1,91,9.63,9.2,7,2.48,0,False,610.6,298,59.45
MA,127,408,371-9457,yes,no,0,176.9,110,30.07,167.9,100,14.27,182.2,138,8.2,7.7,2,2.08,1,True,527.0,348,52.540000000000006
OR,80,415,391-8087,no,no,0,161.1,99,27.39,198.8,81,16.9,228.4,116,10.28,10.6,4,2.86,1,False,588.3,296,54.57
MT,106,510,392-6420,no,no,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False,568.8,257,54.660000000000004
AL,61,415,399-4094,no,yes,20,254.4,133,43.25,161.7,96,13.74,251.4,91,11.31,10.5,4,2.84,0,False,667.5,320,68.3
ND,135,510,378-4013,yes,yes,24,127.7,54,21.71,215.0,105,18.28,234.3,84,10.54,5.8,4,1.57,2,False,577.0,243,50.53
LA,115,415,386-6306,no,yes,26,170.5,107,28.99,217.2,77,18.46,225.7,71,10.16,13.6,5,3.67,6,False,613.4,255,57.61
ND,167,408,359-3618,yes,no,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,False,630.9,291,65.5
MS,107,510,340-8875,yes,no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11.0,9,2.97,2,False,611.1,239,69.03999999999999
WV,112,415,330-2693,yes,no,0,161.9,138,27.52,200.9,114,17.08,134.0,134,6.03,10.7,4,2.89,1,False,496.8,386,50.629999999999995
WI,35,510,403-7627,no,yes,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,False,672.5999999999999,256,66.16
KS,103,408,342-3678,yes,no,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,9.4,4,2.54,3,False,513.4,268,37.769999999999996
MO,107,415,344-9943,no,yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False,664.2,341,70.77
PA,69,415,390-5686,no,no,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,10.7,5,2.89,3,False,634.5,210,67.62
SD,85,408,358-5826,no,no,0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,False,604.7,261,61.22
NJ,24,408,393-7826,no,no,0,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,True,656.9000000000001,293,71.11
AL,90,415,335-9786,no,no,0,214.9,97,36.53,117.8,117,10.01,133.7,78,6.02,11.8,2,3.19,2,False,466.4,292,52.56
ME,137,510,368-9860,no,no,0,110.5,79,18.79,223.2,111,18.97,169.5,64,7.63,10.5,3,2.84,3,False,503.2,254,45.39
AZ,92,415,416-9522,yes,yes,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,False,573.4,267,68.86
VT,38,415,416-7307,no,no,0,137.8,86,23.43,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,False,591.1,239,55.28999999999999
NV,69,510,397-6789,yes,yes,33,271.5,98,46.16,253.4,102,21.54,165.4,85,7.44,8.2,2,2.21,1,True,690.3,285,75.13999999999999
WI,45,408,335-9501,no,no,0,112.8,108,19.18,218.8,120,18.6,240.2,106,10.81,9.0,3,2.43,2,False,571.8,334,48.59
HI,73,408,388-1250,no,no,0,187.3,118,31.84,239.7,90,20.37,167.5,108,7.54,15.1,2,4.08,1,False,594.5,316,59.75
DE,92,415,386-1374,no,no,0,197.0,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,False,625.2,294,63.53
AZ,113,415,346-8112,no,yes,32,180.4,89,30.67,129.4,124,11.0,166.9,124,7.51,8.4,2,2.27,1,False,476.70000000000005,337,49.18
VA,68,408,364-9040,yes,no,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,True,566.4,372,52.83
GA,135,415,366-3944,no,yes,22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,False,591.2,343,61.620000000000005
AZ,100,415,331-9861,no,yes,26,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,False,505.0,365,47.45
MN,96,415,330-2881,no,yes,27,261.3,96,44.42,220.9,101,18.78,179.4,97,8.07,11.3,2,3.05,1,False,661.6,294,71.27000000000001
ME,108,510,402-9558,no,no,0,246.2,102,41.85,202.4,134,17.2,180.1,95,8.1,9.4,5,2.54,1,False,628.7,331,67.14999999999999
FL,84,510,341-3180,no,no,0,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,False,757.1,286,70.7
WA,134,408,371-8598,no,no,0,208.3,86,35.41,253.6,89,21.56,291.0,86,13.1,12.6,3,3.4,1,False,752.9,261,70.07
MT,72,415,398-8385,no,no,0,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,False,683.1,240,71.14
AL,83,408,333-4154,no,no,0,202.3,87,34.39,201.5,111,17.13,101.7,82,4.58,6.8,4,1.84,0,False,505.5,280,56.099999999999994
WV,137,408,330-3589,no,no,0,174.4,120,29.65,156.3,98,13.29,136.5,121,6.14,10.2,5,2.75,0,False,467.20000000000005,339,49.08
GA,56,415,417-1477,no,yes,30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,False,493.79999999999995,316,45.0
OH,61,510,327-5525,yes,yes,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,False,533.8,229,51.669999999999995
DE,171,510,363-8244,no,yes,17,186.9,94,31.77,240.0,138,20.4,200.9,64,9.04,5.8,3,1.57,1,False,627.8,296,61.21
NE,123,510,419-9104,no,no,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,False,582.3,340,60.129999999999995
FL,58,510,363-1560,no,no,0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,False,520.1,342,57.03
AK,156,510,341-4075,no,no,0,123.7,96,21.03,103.0,80,8.76,189.4,82,8.52,13.1,4,3.54,1,False,416.1,258,38.31
WI,166,510,366-9074,no,no,0,173.9,103,29.56,276.4,83,23.49,190.8,113,8.59,15.3,5,4.13,0,False,641.0999999999999,299,61.64
WA,75,510,367-1424,no,yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,False,506.0,293,47.269999999999996
KY,75,415,341-1191,no,no,0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,True,769.5,288,80.74
OH,83,510,342-9480,no,no,0,227.9,78,38.74,207.5,115,17.64,211.7,100,9.53,12.1,5,3.27,1,False,647.0999999999999,293,65.91
UT,243,510,355-9360,no,no,0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,False,523.4,273,42.04
NM,153,408,343-1538,no,no,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,False,599.4,324,58.45
MN,150,415,335-2331,no,no,0,146.3,133,24.87,202.7,95,17.23,234.7,103,10.56,13.1,3,3.54,1,False,583.7,331,52.660000000000004
WV,92,510,335-7257,no,yes,16,184.0,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,False,445.5,329,46.1
MN,80,415,332-2137,no,no,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0,False,339.29999999999995,285,30.25
AL,134,415,352-2998,no,no,0,178.0,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,False,568.4,279,53.98
PA,77,510,346-6941,no,yes,24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,False,447.6,230,43.769999999999996
DE,147,510,400-2203,no,no,0,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,False,491.29999999999995,305,53.58
MO,74,415,421-2955,no,no,0,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,False,566.0,309,55.45
IL,138,510,331-6629,yes,no,0,169.3,82,28.78,217.9,147,18.52,184.2,77,8.29,9.4,9,2.54,1,False,571.4000000000001,306,55.589999999999996
FL,143,415,343-6314,no,no,0,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,False,629.8,353,54.74
HI,64,415,414-6638,no,no,0,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,False,636.3,348,59.84
ME,120,510,350-5883,no,no,0,198.8,56,33.8,230.1,73,19.56,119.8,81,5.39,9.9,3,2.67,2,False,548.6999999999999,210,58.75
CO,121,408,409-4447,yes,no,0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,True,502.7,330,47.33
NH,88,415,376-4856,no,no,0,202.2,86,34.37,216.8,93,18.43,239.4,99,10.77,11.8,2,3.19,2,False,658.4,278,63.56999999999999
SC,87,408,335-1874,no,no,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True,713.3,327,80.6
IN,100,510,397-6255,no,no,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False,570.1999999999999,318,61.31
FL,104,415,381-5047,no,no,0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,False,418.3,284,33.0
GA,27,510,403-6850,no,no,0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,False,347.1,263,33.05
IL,81,415,375-3658,no,yes,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0,False,604.5999999999999,317,62.53
NC,64,510,341-2603,yes,yes,33,127.2,93,21.62,162.9,104,13.85,247.4,109,11.13,8.1,13,2.19,0,False,537.5,306,46.6
VT,107,510,342-5062,no,yes,28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,False,732.3,340,70.38000000000001
DC,88,415,354-1558,no,yes,17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,False,629.9000000000001,264,64.67
VT,111,408,351-9537,no,no,0,99.3,112,16.88,270.5,136,22.99,225.3,94,10.14,9.0,6,2.43,3,False,595.1,342,50.01
NV,77,415,401-1252,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,False,550.0,310,60.65
OR,67,415,366-9538,yes,no,0,120.9,58,20.55,235.0,88,19.98,95.1,130,4.28,11.4,11,3.08,2,False,451.0,276,44.81
AL,102,408,364-7622,no,no,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1,False,521.7,302,56.74
ND,146,408,393-9918,no,yes,19,176.6,88,30.02,162.7,66,13.83,215.5,98,9.7,14.6,6,3.94,1,False,554.8,252,53.55
FL,144,415,376-4484,no,yes,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,False,672.2,292,73.41
NE,96,415,410-6791,no,no,0,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,True,667.1,331,60.230000000000004
